,TeamID,Name
548,325,UT Arlington Mavericks
549,270,Texas A&M Aggies
550,392,Texas A&M Commerce Lions
551,686,Texas Lutheran Bulldogs
552,431,Texas-Permian Basin Falcons
553,304,Texas Southern Tigers
554,332,Texas State Bobcats
555,111,Texas Tech Red Raiders
556,622,Texas Wesleyan Rams
557,635,Alaska-Anchorage Seawolves
558,134,UAB Blazers
559,118,UC Davis Aggies
560,8,UCF Knights
561,116,UC Irvine Anteaters
562,253,UCLA Bruins
563,3,Connecticut Huskies
564,120,UC Riverside Highlanders
565,764,California-Santa Cruz Banana Slugs
566,268,Kentucky Wildcats
567,55,Massachusetts Minutemen
568,19,UMBC Retrievers
569,441,Maine-Fort Kent Bengals
570,362,Kansas City Roos
571,630,Univ. of the Virgin Islands Buccaneers
572,218,UNLV Runnin' Rebels
573,685,University of the Ozarks Eagles
574,654,Puget Sound Loggers
575,689,Urbana Blue Knights
576,246,USC Trojans
577,119,UC Santa Barbara Gauchos
578,631,Sewanee Tigers
579,248,Utah Runnin' Utes
580,220,Utah State Aggies
581,348,Utah Valley Wolverines
582,1134,UT Southern Firehawks
583,139,UTEP Miners
584,350,Texas-Rio Grande Valley Vaqueros
585,147,UTSA Roadrunners
586,628,Texas-Tyler Patriots
587,642,Wisconsin-Parkside Rangers
588,513,Wisconsin-Stout Blue Devils
589,148,Valparaiso Crusaders
590,290,VMI Keydets
591,273,Vanderbilt Commodores
592,45,VCU Rams
593,15,Vermont Catamounts
594,58,Villanova Wildcats
595,22,Virginia Cavaliers
596,437,Voorhees College Tigers
597,31,Virginia Tech Hokies
598,673,Wabash Little Giants
599,223,Wagner Seahawks
600,34,Wake Forest Demon Deacons
601,719,West Alabama Tigers
602,434,Warren Wilson Owls
603,249,Washington Huskies
604,615,Washington College Shoremen
605,256,Washington State Cougars
606,475,Walla Walla University Wolves
607,765,Wayland Baptist Pioneers
608,151,Milwaukee Panthers
609,287,Western Carolina Catamounts
610,767,West Coast Baptist Eagles
611,789,Western Colorado Mountaineers
612,637,Webber International Warriors
613,69,Weber State Wildcats
614,679,Welch Flames
615,672,Wesley College Wolverines
616,672,Wesley College Wolverines
617,624,Westcliff Warriors
618,202,Wichita State Shockers
619,414,Wilberforce Bulldogs
620,473,Williams Baptist Eagles
621,404,William Carey Crusaders
622,506,Wiley Wildcats
623,322,Western Illinois Leathernecks
624,618,Wilmington (OH) Quakers
625,486,Wilmington (DE) Wildcats
626,515,Wilson Phoenix
627,509,Wisconsin Lutheran Warriors
628,82,Winthrop Eagles
629,96,Wisconsin Badgers
630,467,William Jessup Warriors
631,144,Western Kentucky Hilltoppers
632,125,William & Mary Tribe
633,718,Willamette Bearcats
634,188,Western Michigan Broncos
635,411,Montana-Western Bulldogs
636,683,Western New England Golden Bears
637,285,Wofford Terriers
638,150,Wright State Raiders
639,451,Winston-Salem State Rams
640,733,Westminster (PA) Titans
641,633,Westminster (UT) Griffins
642,107,West Virginia Mountaineers
643,523,William Woods Owls
644,219,Wyoming Cowboys
645,59,Xavier Musketeers
646,158,Yale Bulldogs
647,155,Youngstown State Penguins
648,357,York College Spartans
