Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
1996,4,1,East,1,52,Tennessee,Virginia,46,3
1996,1,2,Mideast,1,94,Connecticut,Howard,63,16
1996,1,2,Mideast,8,57,Massachusetts,Michigan St,60,9
1996,1,2,Mideast,5,61,Florida,San Francisco,68,12
1996,1,2,Mideast,4,85,Duke,James Madison,53,13
1996,1,2,Mideast,6,74,Wisconsin,Oregon,60,11
1996,1,2,Mideast,3,100,Vanderbilt,Harvard,83,14
1996,1,2,Mideast,7,96,DePaul,SMU,82,10
1996,1,2,Mideast,2,72,Iowa,Butler,67,15
1996,2,2,Mideast,1,88,Connecticut,Michigan St,68,9
1996,2,2,Mideast,12,64,San Francisco,Duke,60,4
1996,2,2,Mideast,6,82,Wisconsin,Vanderbilt,96,3
1996,2,2,Mideast,7,71,DePaul,Iowa,72,2
1996,3,2,Mideast,1,72,Connecticut,San Francisco,44,12
1996,3,2,Mideast,3,74,Vanderbilt,Iowa,63,2
1996,4,2,Mideast,1,67,Connecticut,Vanderbilt,57,3
1996,1,3,Midwest,1,98,Louisiana Tech,Central Florida,41,16
1996,1,3,Midwest,8,66,Utah,Southern Mississippi,74,9
1996,1,3,Midwest,5,60,Purdue,Notre Dame,73,12
1996,1,3,Midwest,4,78,Texas Tech,Portland,61,13
1996,1,3,Midwest,6,65,Oregon St,Stephen F Austin,67,11
1996,1,3,Midwest,3,79,Clemson,Austin Peay,52,14
1996,1,3,Midwest,7,90,Oklahoma St,Rhode Island,82,10
1996,1,3,Midwest,2,98,Georgia,St Francis,66,15
1996,2,3,Midwest,1,84,Louisiana Tech,Southern Mississippi,46,9
1996,2,3,Midwest,12,67,Notre Dame,Texas Tech,82,4
1996,2,3,Midwest,11,93,Stephen F Austin,Clemson,88,3
1996,2,3,Midwest,7,55,Oklahoma St,Georgia,83,2
1996,3,3,Midwest,1,66,Louisiana Tech,Texas Tech,55,4
1996,3,3,Midwest,11,64,Stephen F Austin,Georgia,78,2
1996,4,3,Midwest,1,76,Louisiana Tech,Georgia,90,2
1996,1,4,West,1,82,Stanford,Grambling,43,16
1996,1,4,West,8,66,Colorado St,Nebraska,62,9
1996,1,4,West,5,77,NC State,Montana,68,12
1996,1,4,West,4,95,Alabama,Appalachian St,66,13
1996,1,4,West,6,73,Auburn,Hawaii,53,11
1996,1,4,West,3,83,Colorado,Tulane,75,14
1996,1,4,West,7,68,Texas A&M,Kent St,72,10
1996,1,4,West,2,94,Penn St,Youngstown State,71,15
1996,2,4,West,1,94,Stanford,Colorado St,63,8
1996,2,4,West,5,68,NC State,Alabama,88,4
1996,2,4,West,6,68,Auburn,Colorado,61,3
1996,2,4,West,10,59,Kent St,Penn St,86,2
1996,3,4,West,1,78,Stanford,Alabama,76,4
