Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
477,William & Mary,Williamsburg Virginia,1906,2024,119,2783,1289,1494,.463,-5.72,-2.66,0,3,0,0,0,0
478,Williams Ephs,Williamstown Massachusetts,1901,1911,10,161,136,24,.850,,,0,0,0,0,0,0
479,Winthrop,Rock Hill South Carolina,1987,2024,38,1149,637,512,.554,-6.93,-6.54,1,12,13,11,0,0
480,Wisconsin,Madison Wisconsin,1899,2024,126,2994,1720,1274,.574,8.94,7.91,18,20,3,27,4,1
481,Wisconsin-Stevens Point Pointers,Stevens Point Wisconsin,1898,1918,21,156,98,58,.628,,,0,0,0,0,0,0
482,Wisconsin-Superior Yellowjackets,Superior Wisconsin,1900,1901,2,14,10,4,.714,,,0,0,0,0,0,0
483,Wittenberg Tigers,Springfield Ohio,1931,1931,1,20,18,2,.900,,,0,0,0,0,0,0
484,Wofford,Spartanburg South Carolina,1996,2024,29,893,454,439,.508,-4.71,-2.58,1,4,5,5,0,0
485,Wooster Fighting Scots,Wooster Ohio,1901,1931,31,390,225,165,.577,,,0,0,0,0,0,0
486,WPI Engineers,Worcester Massachusetts,1920,1920,1,16,14,2,.875,,,0,0,0,0,0,0
487,Wright State,Dayton Ohio,1988,2024,37,1128,631,497,.559,-1.33,-2.56,0,4,4,4,0,0
488,Wyoming,Laramie Wyoming,1905,2024,119,2876,1609,1267,.559,2.72,2.74,4,21,3,16,1,1
489,Xavier,Cincinnati Ohio,1920,2024,103,2697,1611,1086,.597,6.07,4.00,13,18,9,29,0,0
